fecha,titulo,descripcion,is_fake,descripcion_stem
22/01/2021,"Video registra robo a restaurante en Quito, a tres cuadras de una UPC","El robo se registró la madrugada de este viernes 22 de enero del 2021, cuando no había comensales ni empleados en el restaurante Vieja Europa, en las calles Isabel La Católica y Gangotena del barrio La Floresta, en el centro-norte de Quito. El hecho quedó registrado en un video.",,
22/01/2021,Cámara captó robo a un restaurante en Quito,"Una cámara de seguridad registró el momento en el que un hombre entró a un restaurante ubicado en La Floresta, norte de Quito, y roba un televisor. El local se encuentra a pocas cuadras de una Unidad de Policía Comunitaria.",,
21/01/2021,14 automóviles robados en Colombia fueron vendidos en Ecuador,"Este 21 de enero del 2021 cruzaron de Ecuador a Colombia, por el Puente Internacional de Rumichaca, 14 vehículos de alta y media gama. Se trata de automóviles que fueron robados en la nación vecina y recuperados en Ecuador, por la Policía Nacional.",,
21/01/2021,Cámara registra a un vendedor que se enfrenta a hombres armados cuando asaltan un local,"La cámara de seguridad de un local comercial captó el momento en el que un hombre que atendía el negocio fue asaltado por dos atacantes armados. La víctima reacciona y al notar que se defiende, uno de los sospechosos huye, mientras el otro es enfrentado por el vendedor, quien lo neutraliza. Video: Redes sociales",,
21/01/2021,Video registra a un vendedor que defiende su local en Ecuador con una llave al estilo de la ‘lucha libre’,"En imágenes, difundidas en redes sociales, se puede observar el momento en el que un hombre defiende su negocio de dos hombres armados que ingresaron al local comercial. El hecho sucedió en Cuenca, en el sur del Ecuador.",,
20/01/2021,11 transformadores de distribución fueron robados de la iluminación pública en tres cantones de Tungurahua,"La Empresa Eléctrica Ambato presentará una denuncia en la Fiscalía de Tungurahua sobre el robo de 11 transformadores de distribución. La sustracción de estos equipos dejó sin alumbrado público algunos tramos de las vías que unen a los cantones Pelileo, Ambato y Patate.",,
18/01/2021,Un hombre fue detenido tras matar a un joven que le habría robado el celular,"Un hombre fue capturado este domingo 18 de enero del 2021 por uniformados de la Policía de Bogotá (Colombia) por haber asesinado a un joven de 23 años quien, presuntamente, le habría robado su celular horas antes en una vía pública.",,
15/01/2021,45 detenidos tras un intento de robo en una mina estatal de Bolivia,"Un intento de robo de mineral y material de trabajo en el yacimiento boliviano Huanuni, administrado por el Estado, fue repelido por los obreros de esa mina y se saldó con la detención de 45 personas.",,
14/01/2021,Video registra el robo de un auto en Quito en menos de dos minutos con ‘control universal’,Un video registra cómo roban un vehículo con un aparato conocido como 'control universal'. Los sospechosos se llevan el automotor en menos de dos minutos. Video: Redes sociales,,
14/01/2021,Video registra el robo de un vehículo en Quito con un ‘control universal’,"Un video difundido en redes sociales muestra el robo de un vehículo que se encontraba estacionado en una calle de Quito. Las imágenes fueron compartidas por usuarios de Twitter, quienes alertaban sobre la modalidad de ese delito en la capital de Ecuador con un dispositivo conocido como 'control universal'.",,
12/01/2021,Cámaras de vigilancia captan el intento de robo a una vivienda en Guayaquil,Las cámaras del sistema ojos de águila de la Corporación de Seguridad Ciudadana de Guayaquil (CSCG) captaron el momento en el que dos hombres trepan paredes desde una vereda para robar una casa ubicada entre las calles Colón y Tungurahua.,,
07/01/2021,"Robo a un taxista en San Roque, en Quito, queda grabado en video","Una persona grabó el momento en el que un conductor de un taxi fue asaltado en la av. Mariscal Sucre, justo debajo del puente peatonal de San Roque, en el Centro Histórico de Quito.",,
05/01/2021,Cámara capta cómo una mujer simula y se viste con pijama para robar vehículos en el sur de Quito,"Una cámara de seguridad registró a una mujer que simula ser moradora del barrio La Gatazo, en el sur de Quito, para robar carteras dentro de una camioneta. La sospechosa usa un traje de pijama para acercarse al vehículo y aprovecha que el propietario descarga unas cajas, para sustraer los objetos. Video: Cortesía",,
05/01/2021,Sospechosa usa pijama para robar vehículo en el sur de Quito, vecinos de La Gatazo denuncian asaltos constantes,"El local de soluciones informáticas y pagos de servicios de Juan Carlos, ubicado en la calle Pilaló, en La Gatazo, en el sur de Quito, permanece cerrado con rejas.",
02/01/2021,El conmovedor gesto de un Policía con dos mujeres que fueron descubiertas robando alimentos de una tienda,"Unos días antes de Navidad, Matt Lima, oficial de Policía de Massachusetts, fue llamado a una tienda para atender un caso de robo. Dos mujeres habían sido detenidas por el personal de seguridad del local acusadas de no haber pagado por todo lo que habían colocado en sus fundas.",,
31/12/2020,Polémica en Colombia por militares que roban ayudas humanitarias para isla destruida por el huracán Iota,"Una polémica se desató este jueves 31 de diciembre del 2020 en Colombia luego de que grupo de militares robaran ayudas humanitarias para la isla caribeña de Providencia, destruida completamente por el huracán Iota de categoría cinco en noviembre pasado, por lo que los uniformados serán sancionados.",,
